FID,OBJECTID,Site_ID,Category,Address,Geocode_Ad,On_Street,Cross_Stre,Borough,Installati,Postcode,Bar_ID,Descriptio,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
0,1,19,SBS,245 E. 34th Street,245 E. 34th Street,E. 34th Street,E. 2nd Street & Tunnel Exit,Manhattan,11/30/2016,10016,20160028,,40.745184,-73.976816,106,2,78,1020153,1009150027,Murray Hill-Kips Bay,POINT (-73.976816 40.745184),12078,71,4,50,9
5,6,24,SBS,3669 Amendola Place,3669 Amendola Place,Amendola Place,Westchester Avenue & Bruckner Blvd,Bronx,03/11/2017,10461,20160041,IFO Parking lot. At westbound SBS stop,40.852202,-73.827218,,,,,,,POINT (-73.8272183087069 40.8522018448652),11270,43,5,12,28
10,11,1,SBS,460 W 34th Street,460 W 34th Street,W 34th Street,9th Avenue & 10th Avenue,Manhattan,11/30/2016,10001,20160023,Westbound SBS Stop,40.754329,-73.998578,104,3,103,1012843,1007310001,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.998578 40.754329),11722,12,4,10,6
42,43,14,SBS,250 1st Avenue,250 1st Avenue,1st Avenue,E. 14th Street & E. 15th Street,Manhattan,11/30/2016,10009,20160022,,40.731862,-73.982042,106,4,44,1082875,1009720001,Stuyvesant Town-Cooper Village,POINT (-73.982042 40.731862),11729,71,4,51,7
24,25,53,SBS,90-13 Metropolitan Avenue,90-13 Metropolitan Avenue,Woodhaven Blvd,Metropolitan Avenue & Polo Place,Brooklyn,01/29/2019,11374,20180025,,40.716965,-73.963760,301,33,555,3251736,3023637501,North Side-South Side,POINT (-73.96376 40.716965),17613,36,2,38,56
37,38,8,SBS,1024 Nostrand Avenue,1024 Nostrand Avenue,Nostrand Avenue,Empire Blvd & Sterling Street,Brooklyn,11/19/2016,11225,20160018,,40.663442,-73.950936,309,40,329,3034805,3013150042,Prospect Lefferts Gardens-Wingate,POINT (-73.950936 40.663442),13509,17,2,11,44
25,26,54,SBS,82-55 Woodhaven Blvd,82-55 Woodhaven Blvd,Woodhaven Blvd,Myrtle Avenue & Forest Park Drive,Brooklyn,01/29/2019,11421,20180027,,40.702889,-73.855328,,,,,,,POINT (-73.855328054911 40.7028889664396),15310,40,3,34,62
52,53,66,SBS,81-01 Rockaway Beach Blvd,81-01 Rockaway Beach Blvd,Rockaway Beach Blvd,Beach 84th street & Beach 81st street,Queens,02/05/2019,11693,20180011,,40.587956,-73.807670,414,32,94203,,,Hammels-Arverne-Edgemere,POINT (-73.80767 40.587956),20531,51,3,41,58
14,15,39,Bus Route,3114 Kings Hwy,3114 Kings Hwy,Kings Hwy,Nostrand Avenue & East 32nd Street,Brooklyn,09/25/2018,11234,20180005,,40.616525,-73.944264,318,45,644,3211470,3076930090,Georgetown-Marine Park-Bergen Beach-Mill Basin,POINT (-73.944264 40.616525),13825,5,2,26,38
20,21,48,SBS,8290 Broadway,8290 Broadway,Broadway,Whitney Avenue & 45th Avenue,Queens,01/24/2019,11373,20180009,,40.741375,-73.880393,404,25,485,4533524,4015350095,Elmhurst-Maspeth,POINT (-73.880393 40.741375),14784,66,3,5,68
46,47,60,SBS,163-01 Cross Bay Blvd,163-01 Cross Bay Blvd,Cross Bay Blvd,163rd Avenue & 164th Avenue,Queens,02/05/2019,11414,20180014,,40.652206,-73.838136,410,32,892,4000000,4142010063,Lindenwood-Howard Beach,POINT (-73.838136 40.652206),15314,62,3,41,64
29,30,58,SBS,157-02 CROSS BAY BOULEVARD,157-02 CROSS BAY BOULEVARD,CROSS BAY BOULEVARD,157th Avenue & 158th Avenue,Queens,01/31/2019,11414,20180018,,40.662247,-73.840645,410,32,892,4292707,4139720064,Lindenwood-Howard Beach,POINT (-73.840645 40.662247),15314,62,3,41,64
1,2,19,SBS,245 E. 34th Street,245 E. 34th Street,E. 34th Street,E. 2nd Street & Tunnel Exit,Manhattan,11/30/2016,10016,20160027,,40.745184,-73.976816,106,2,78,1020153,1009150027,Murray Hill-Kips Bay,POINT (-73.976816 40.745184),12078,71,4,50,9
6,7,32,SBS,265 E 161st Street,265 E 161st Street,E 161st Street,Sherman Avenue & Grant Avenue,Bronx,08/30/2017,10451,20160001,,40.825928,-73.919514,204,16,18302,2097114,2024440001,East Concourse-Concourse Village,POINT (-73.919514 40.825928),10929,50,5,42,27
28,29,57,SBS,137-05 Cross Bay Blvd,137-05 Cross Bay Blvd,Cross Bay Blvd,Pitkin Avenue & 149th Avenue,Queens,01/31/2019,11417,20180019,,40.671929,-73.843117,410,32,88,4248602,4115290001,Ozone Park,POINT (-73.843117 40.671929000000006),24013,62,3,41,64
38,39,9,SBS,381 Rogers Avenue,381 Rogers Avenue,Rogers Avenue,Empire Blvd & Sterling Street,Brooklyn,11/19/2016,11225,20160030,,40.663614,-73.953827,309,40,329,3330692,3013150006,Prospect Lefferts Gardens-Wingate,POINT (-73.953827 40.663614),13509,17,2,11,44
21,22,49,SBS,90-15 Queens Blvd,90-15 Queens Blvd,Queens Blvd,59th Avenue & 90th Street,Queens,01/29/2019,11373,20180023,,40.733848,-73.871578,404,25,683,4045999,4018600100,Elmhurst,POINT (-73.871578 40.733848),14784,66,3,5,68
33,34,5,SBS,242 W 34th Street,242 W 34th Street,W 34th Street,7th Avenue & 8th Avenue,Manhattan,11/30/2016,10001,20160025,,40.751614,-73.992121,105,3,101,1014387,1007830070,Midtown-Midtown South,POINT (-73.992121 40.751614),11722,11,4,10,8
9,10,35,SBS,94-2 101st Avenue,94-2 101st Avenue,Woodhaven Boulevard,101st Avenue & 103rd Avenue,Queens,11/13/2017,11416,20160005,,40.684063,-73.846694,409,32,4001,4438506,4091010001,Woodhaven,POINT (-73.846694 40.684063),24012,46,3,41,60
53,54,67,sbs,219 Beach 59th St,219 Beach 59th St,Arverne Blvd,Beach 59th Street & Beach 62nd Street,Queens,02/05/2019,11692,20180051,,40.592902,-73.789051,414,31,964,4301932,4159000008,Hammels-Arverne-Edgemere,POINT (-73.789051 40.59290200000001),20530,51,3,47,58
13,14,38,Bus Route,2955 Kings Highway,2955 Kings Highway,Kings Highway,Nostrand Avenue & East 31st Street,Brooklyn,09/25/2018,11229,20180003,,40.615735,-73.945258,314,45,746,,,Flatlands,POINT (-73.945258 40.61573500000001),13512,60,2,26,43
41,42,13,SBS,1183 Rogers Avenue,1183 Rogers Avenue,Rogers Avenue,Avenue D & Clarendon,Brooklyn,11/19/2016,11226,20160009,,40.641265,-73.951449,317,45,828,3327311,3051930048,Erasmus,POINT (-73.951449 40.641265),13510,61,2,26,40
